label,pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio,mc_avg_activity_p50,mc_avg_activity_p95,mc_last_activity_p50
front_uniform_1mb_r32,uniform,1,32,16,18,16,8,8,159.271821,138.711998,152.870977,135.786328,287.517412,287.893537,288.191419,297.983819,96.487592,96.613815,96.713781,95.981182,97.890831,3.962752,0.99785,763174.0,2992704.0,3163008.0
front_strided_1mb_r32,strided,1,32,16,29,16,8,8,143.193071,78.693493,140.158113,76.582765,214.619494,215.124383,215.67006,221.886563,96.724872,96.952416,97.198342,97.880514,97.317787,7.01896,0.998753,5223836.0,9214388.0,10782208.0
front_scatter_1mb_r32,scatter,1,32,16,18,16,8,8,50.036584,42.093206,30.286086,32.579461,55.427112,55.77271,56.16155,92.129791,60.161987,60.537107,60.959164,60.527883,77.398383,21.056985,0.999684,15485825.0,16629253.0,16663552.0
front_uniform_4mb_r32,uniform,4,32,4,4,4,8,8,155.618368,142.83831,155.037391,141.731781,282.36368,282.78488,283.271892,298.456678,94.607928,94.749054,94.912231,99.626665,99.225328,3.797027,0.997655,11166471.0,15130920.0,4676224.0
front_strided_4mb_r32,strided,4,32,4,7,4,8,8,137.242555,78.226764,134.949384,74.456204,204.015347,204.505481,205.019838,215.46932,94.684175,94.911647,95.150362,98.329111,95.179961,7.219342,0.998785,10901968.0,17467610.0,15951104.0
front_scatter_4mb_r32,scatter,4,32,4,4,5,8,8,26.273023,33.851992,12.738567,15.488373,27.793064,27.873901,27.973668,60.125014,46.22546,46.359908,46.52584,48.485352,45.753209,43.33658,0.999806,16513382.0,18112917.0,16297216.0
back_uniform_64mb_r1,uniform,64,1,8,8,8,8,8,25.155284,25.224344,19.352603,19.380837,38.666839,38.695915,38.72512,50.379628,76.750942,76.808654,76.866625,76.932555,76.83386,27.748196,0.999767,23259630.0,35027508.0,23934208.0
back_strided_64mb_r1,strided,64,1,8,8,8,8,8,13.148495,13.109852,6.595707,6.578137,13.124123,13.155071,13.171518,26.258347,49.980765,50.098628,50.161263,50.163208,50.177048,81.621892,0.999903,57728051.0,57905494.0,57818496.0
back_scatter_32mb_r1,scatter,32,1,16,16,16,8,8,9.933377,9.956326,5.006456,5.026591,9.992253,10.012346,10.024155,19.889703,50.238322,50.339342,50.398714,50.400346,50.486399,107.241784,0.999948,30164302.0,38369980.0,29510784.0
back_scatter_64mb_r1,scatter,64,1,8,8,8,8,8,9.761204,9.893352,1.196168,1.196176,2.39074,2.392326,2.393998,19.654556,12.163795,12.171864,12.180374,12.254307,12.090706,448.827595,0.999997,18456654.0,30630007.0,21968640.0
back_scatter_128mb_r1,scatter,128,1,4,4,5,8,8,1.58294,2.168053,0.832447,0.955023,1.221295,1.719004,1.719824,3.750994,32.559235,45.827954,45.849833,52.588645,44.04978,702.709103,0.999984,7521623.0,19547116.0,7314048.0
