pattern,size_mb,iters,ratio_p50,overlap,agg_p50
uniform,1,32,90.10,0.969,262.2
uniform,1,1,73.80,0.987,49.4
uniform,4,32,94.27,0.992,280.9
uniform,4,1,87.26,0.996,42.8
uniform,16,32,95.07,0.998,286.6
uniform,16,1,87.68,0.999,44.2
uniform,64,32,94.37,0.999,285.4
uniform,64,1,76.40,1.000,38.6
strided,1,32,91.85,0.986,204.2
strided,1,1,62.60,0.994,32.0
strided,4,32,94.53,0.996,204.2
strided,4,1,46.64,0.999,13.8
strided,16,32,95.07,0.999,206.7
strided,16,1,48.97,1.000,12.8
strided,64,32,95.03,1.000,207.4
strided,64,1,50.00,1.000,13.2
scatter,1,32,59.57,0.995,55.1
scatter,1,1,53.17,0.993,12.7
scatter,4,32,45.64,0.999,27.7
scatter,4,1,49.98,0.999,10.2
scatter,16,32,43.63,1.000,25.1
scatter,16,1,50.72,1.000,10.0
scatter,64,32,9.76,1.000,5.9
scatter,64,1,12.23,1.000,2.4
