pattern,size_mb,iters,dev_sms,zc_sms,dev_solo_gbps,zc_solo_gbps,dev_co_gbps,zc_co_gbps,aggregate_gbps,solo_sum_gbps,aggregate_ratio_pct,device_preserve_ratio_pct,zc_preserve_ratio_pct
uniform,1,1,8,8,39.912301,22.771369,23.727733,21.236552,44.964285,62.683670,71.732056,59.449674,93.259885
uniform,1,32,8,8,157.254949,137.320064,150.961133,133.222592,284.183725,294.575013,96.472448,95.997699,97.016116
uniform,4,1,8,8,24.227725,24.367354,21.368112,21.922060,43.290172,48.595079,89.083448,88.196937,89.964879
uniform,4,32,8,8,155.258335,142.527663,154.960062,139.305429,294.265490,297.785997,98.817773,99.807886,97.739222
uniform,16,1,8,8,25.221917,25.254721,22.315826,22.380603,44.696428,50.476638,88.548743,88.477913,88.619481
uniform,16,32,8,8,157.262318,144.280420,157.063569,140.821457,297.885026,301.542738,98.787000,99.873620,97.602611
uniform,64,1,8,8,25.276331,25.439450,19.332689,19.393114,38.725803,50.715782,76.358486,76.485343,76.232442
uniform,64,32,8,8,157.744726,144.670770,157.059888,140.485109,297.544997,302.415496,98.389468,99.565857,97.106768
strided,1,1,8,8,35.083511,12.588552,16.343143,11.648774,27.991917,47.672063,58.717653,46.583544,92.534662
strided,1,32,8,8,143.326411,78.798830,137.392035,71.441864,208.833900,222.125241,94.016285,95.859538,90.663611
strided,4,1,8,8,14.648189,12.802500,6.360557,6.415036,12.775593,27.450690,46.540152,43.422138,50.107677
strided,4,32,8,8,137.703274,78.152792,133.866458,67.868019,201.734477,215.856066,93.457868,97.213707,86.840172
strided,16,1,8,8,13.098359,13.075493,6.619715,6.622390,13.242105,26.173851,50.592879,50.538505,50.647349
strided,16,32,8,8,138.725757,78.718967,136.893169,67.949624,204.842793,217.444724,94.204536,98.678985,86.319253
strided,64,1,8,8,13.146063,13.171328,6.607534,6.608554,13.216088,26.317391,50.218079,50.262456,50.173786
strided,64,32,8,8,139.538037,78.859944,137.316413,68.160532,205.476945,218.397981,94.083720,98.407872,86.432387
scatter,1,1,8,8,12.038207,11.168371,6.276192,6.464391,12.740584,23.206578,54.900742,52.135607,57.881237
scatter,1,32,8,8,49.261300,42.240411,29.401526,30.791633,60.193159,91.501710,65.783643,59.684836,72.896150
scatter,4,1,8,8,10.134694,10.091777,5.025959,5.080113,10.106073,20.226471,49.964587,49.591624,50.339136
scatter,4,32,8,8,26.283560,34.045505,12.722118,15.884416,28.606534,60.329065,47.417499,48.403329,46.656426
scatter,16,1,8,8,9.929509,9.868208,5.006235,5.026104,10.032339,19.797716,50.674225,50.417755,50.932289
scatter,16,32,8,8,24.390701,33.345556,11.789237,15.192080,26.981318,57.736257,46.732018,48.334969,45.559535
scatter,64,1,8,8,9.730977,9.842549,1.313192,1.313450,2.626642,19.573526,13.419363,13.494967,13.344616
scatter,64,32,8,8,25.385264,35.856050,3.220104,4.398985,7.619089,61.241314,12.441093,12.684934,12.268459
