size_mb,reuse,threads,work_bytes,dev_solo_gbps,time_ms,time_ratio_vs_prev
1,1,262144,1048576,39.575,0.0265,
1,2,262144,2097152,59.201,0.0354,
1,4,262144,4194304,89.104,0.0471,
1,8,262144,8388608,117.186,0.0716,
1,16,262144,16777216,127.223,0.1319,
1,32,262144,33554432,146.143,0.2296,
2,1,524288,2097152,22.947,0.0914,3.45
2,2,524288,4194304,39.912,0.1051,2.97
2,4,524288,8388608,66.349,0.1264,2.68
2,8,524288,16777216,99.184,0.1692,2.36
2,16,524288,33554432,128.408,0.2613,1.98
2,32,524288,67108864,143.111,0.4689,2.04
4,1,1048576,4194304,24.076,0.1742,1.91
4,2,1048576,8388608,41.538,0.2020,1.92
4,4,1048576,16777216,68.606,0.2445,1.93
4,8,1048576,33554432,101.744,0.3298,1.95
4,16,1048576,67108864,131.269,0.5112,1.96
4,32,1048576,134217728,145.338,0.9235,1.97
8,1,2097152,8388608,24.651,0.3403,1.95
8,2,2097152,16777216,42.339,0.3963,1.96
8,4,2097152,33554432,69.719,0.4813,1.97
8,8,2097152,67108864,103.323,0.6495,1.97
8,16,2097152,134217728,132.639,1.0119,1.98
8,32,2097152,268435456,146.485,1.8325,1.98
16,1,4194304,16777216,24.941,0.6727,1.98
16,2,4194304,33554432,42.783,0.7843,1.98
16,4,4194304,67108864,70.538,0.9514,1.98
16,8,4194304,134217728,104.160,1.2886,1.98
16,16,4194304,268435456,133.377,2.0126,1.99
16,32,4194304,536870912,147.029,3.6515,1.99
32,1,8388608,33554432,25.011,1.3416,1.99
32,2,8388608,67108864,42.967,1.5619,1.99
32,4,8388608,134217728,70.730,1.8976,1.99
32,8,8388608,268435456,104.493,2.5689,1.99
32,16,8388608,536870912,133.705,4.0153,2.00
32,32,8388608,1073741824,147.342,7.2874,2.00
64,1,16777216,67108864,25.068,2.6771,2.00
64,2,16777216,134217728,43.077,3.1158,1.99
64,4,16777216,268435456,70.947,3.7836,1.99
64,8,16777216,536870912,104.669,5.1292,2.00
64,16,16777216,1073741824,133.893,8.0194,2.00
64,32,16777216,2147483648,147.479,14.5613,2.00
